Cod,Moeda
498.0,Moldovan leu
840.0,United States dollar
175.0,Euro
520.0,Australian dollar
508.0,Mozambican metical
76.0,Brazilian real
132.0,Cape Verdean escudo
226.0,Central African CFA franc
8.0,Albanian lek
850.0,United States dollar
570.0,New Zealand dollar
585.0,United States dollar
566.0,Nigerian naira
92.0,United States dollar
270.0,dalasi
706.0,Somali shilling
887.0,Yemeni rial
458.0,Malaysian ringgit
212.0,Eastern Caribbean dollar
826.0,British pound
450.0,Malagasy ariary
732.0,Algerian dinar
196.0,Euro
28.0,Eastern Caribbean dollar
372.0,Euro
600.0,Paraguayan guaraní
144.0,Sri Lankan rupee
710.0,South African rand
414.0,Kuwaiti dinar
12.0,Algerian dinar
191.0,Euro
474.0,Euro
694.0,Sierra Leonean leone
580.0,United States dollar
646.0,Rwandan franc
760.0,Syrian pound
670.0,Eastern Caribbean dollar
662.0,Eastern Caribbean dollar
340.0,Honduran lempira
400.0,Jordanian dinar
798.0,Australian dollar
524.0,Nepalese rupee
430.0,Liberian dollar
,
40.0,Euro
831.0,British pound
140.0,Central African CFA franc
478.0,Mauritanian ouguiya
262.0,Djiboutian franc
242.0,Fijian dollar
578.0,Norwegian krone
428.0,Euro
238.0,Falkland Islands pound
398.0,Kazakhstani tenge
248.0,Euro
795.0,Turkmenistan manat
166.0,Australian dollar
100.0,Bulgarian lev
772.0,New Zealand dollar
540.0,CFP franc
52.0,Barbadian dollar
678.0,São Tomé and Príncipe dobra
,
96.0,Brunei dollar
64.0,Bhutanese ngultrum
120.0,Central African CFA franc
32.0,Argentine peso
31.0,Azerbaijani manat
484.0,Mexican peso
504.0,Moroccan dirham
320.0,Guatemalan quetzal
404.0,Kenyan shilling
470.0,Euro
203.0,Czech koruna
292.0,Gibraltar pound
533.0,Aruban florin
652.0,Euro
492.0,Euro
784.0,United Arab Emirates dirham
728.0,South Sudanese pound
630.0,United States dollar
222.0,United States dollar
250.0,Euro
562.0,West African CFA franc
384.0,West African CFA franc
239.0,Saint Helena pound
72.0,Botswana pula
86.0,United States dollar
860.0,Uzbekistani soʻm
788.0,Tunisian dinar
344.0,Hong Kong dollar
807.0,denar
740.0,Surinamese dollar
56.0,Euro
16.0,United States dollar
90.0,Solomon Islands dollar
804.0,Ukrainian hryvnia
246.0,Euro
854.0,West African CFA franc
70.0,Bosnia and Herzegovina convertible mark
364.0,Iranian rial
192.0,Cuban convertible peso
232.0,Eritrean nakfa
703.0,Euro
440.0,Euro
663.0,Euro
612.0,New Zealand dollar
624.0,West African CFA franc
500.0,Eastern Caribbean dollar
792.0,Turkish lira
608.0,Philippine peso
548.0,Vanuatu vatu
68.0,Bolivian boliviano
659.0,Eastern Caribbean dollar
642.0,Romanian leu
116.0,Cambodian riel
716.0,Zimbabwean dollar
832.0,British pound
417.0,Kyrgyzstani som
535.0,United States dollar
328.0,Guyanese dollar
581.0,United States dollar
51.0,Armenian dram
422.0,Lebanese pound
499.0,Euro
304.0,krone
598.0,Papua New Guinean kina
894.0,Zambian kwacha
780.0,Trinidad and Tobago dollar
260.0,Euro
604.0,Peruvian sol
752.0,Swedish krona
729.0,Sudanese pound
666.0,Euro
512.0,Omani rial
356.0,Indian rupee
158.0,New Taiwan dollar
496.0,Mongolian tögrög
686.0,West African CFA franc
834.0,Tanzanian shilling
124.0,Canadian dollar
188.0,Costa Rican colón
156.0,Chinese yuan
170.0,Colombian peso
104.0,Burmese kyat
643.0,Russian ruble
408.0,North Korean won
136.0,Cayman Islands dollar
,
112.0,Belarusian ruble
620.0,Euro
748.0,Swazi lilangeni
616.0,Polish złoty
756.0,Swiss franc
178.0,Central African CFA franc
862.0,Venezuelan bolívar soberano
591.0,Panamanian balboa
528.0,Euro
882.0,Samoan tālā
208.0,Danish krone
442.0,Euro
234.0,Danish krone
705.0,Euro
768.0,West African CFA franc
764.0,Thai baht
876.0,CFP franc
44.0,Bahamian dollar
776.0,Tongan paʻanga
300.0,Euro
674.0,Euro
638.0,Euro
336.0,Euro
108.0,Burundian franc
48.0,Bahraini dinar
584.0,United States dollar
796.0,United States dollar
833.0,British pound
332.0,Haitian gourde
4.0,Afghan afghani
376.0,Israeli new shekel
434.0,Libyan dinar
858.0,Uruguayan peso
574.0,Australian dollar
558.0,Nicaraguan córdoba
184.0,Cook Islands dollar
418.0,Lao kip
162.0,Australian dollar
654.0,Pound sterling
660.0,Eastern Caribbean dollar
583.0,United States dollar
276.0,Euro
316.0,United States dollar
296.0,Australian dollar
534.0,Netherlands Antillean guilder
724.0,Euro
388.0,Jamaican dollar
275.0,Egyptian pound
254.0,Euro
20.0,Euro
152.0,Chilean peso
426.0,Lesotho loti
36.0,Australian dollar
308.0,Eastern Caribbean dollar
288.0,Ghanaian cedi
690.0,Seychellois rupee
24.0,Angolan kwanza
60.0,Bermudian dollar
586.0,Pakistani rupee
466.0,West African CFA franc
682.0,Saudi riyal
531.0,Netherlands Antillean guilder
410.0,South Korean won
231.0,Ethiopian birr
312.0,Euro
50.0,Bangladeshi taka
554.0,New Zealand dollar
174.0,Comorian franc
84.0,Belize dollar
800.0,Ugandan shilling
702.0,Singapore dollar
438.0,Swiss franc
348.0,Hungarian forint
352.0,Icelandic króna
762.0,Tajikistani somoni
516.0,Namibian dollar
626.0,United States dollar
818.0,Egyptian pound
688.0,Serbian dinar
480.0,Mauritian rupee
446.0,Macanese pataca
258.0,CFP franc
462.0,Maldivian rufiyaa
360.0,Indonesian rupiah
180.0,Congolese franc
233.0,Euro
704.0,Vietnamese đồng
380.0,Euro
324.0,Guinean franc
148.0,Central African CFA franc
218.0,United States dollar
268.0,lari
454.0,Malawian kwacha
368.0,Iraqi dinar
744.0,krone
204.0,West African CFA franc
392.0,Japanese yen
214.0,Dominican peso
634.0,Qatari riyal
266.0,Central African CFA franc
