ccn3,latlng,area,population
180,"[0.0, 25.0]",2344858.0,108407721
512,"[21.0, 57.0]",309500.0,5106622
360,"[-5.0, 120.0]",1904569.0,273523621
520,"[-0.53333333, 166.91666666]",21.0,10834
646,"[-2.0, 30.0]",26338.0,12952209
807,"[41.83333333, 22.0]",25713.0,2077132
,"[42.666667, 21.166667]",10908.0,1775378
528,"[52.5, 5.75]",41850.0,16655799
788,"[34.0, 9.0]",163610.0,11818618
728,"[7.0, 30.0]",619745.0,11193729
340,"[15.0, -86.5]",112492.0,9904608
670,"[13.25, -61.2]",389.0,110947
144,"[7.0, 81.0]",65610.0,21919000
344,"[22.267, 114.188]",1104.0,7500700
